Species,Type,Identifier,Title
"Bignonia binata",PMID,"31170979","Antibacterial and antibiotic-modifying activities of fractions and compounds from Albizia adianthifolia against MDR Gram-negative enteric bacteria."
"Bignonia binata",DOI,"10.1016/j.jep.2015.08.039","Antiplasmodial and cytotoxic activities of the constituents of Turraea robusta and Turraea nilotica"
"Bignonia binata",DOI,"10.1016/j.fitote.2013.03.017","Two new tryptophan derivatives from the seed kernels of Entada rheedei: Effects on cell viability and HIV infectivity"
"Bignonia binata",DOI,"10.1016/j.phytol.2014.01.010","Antiplasmodial anthraquinones and hemisynthetic derivatives from the leaves of Tectona grandis (Verbenaceae)"
"Bignonia binata",DOI,"10.4314/br.v20i3.12","Evaluation of bio-active constituents and In vitro antioxidant potentials of the ethanolic leaf extracts of Dracaena mannii, Euphorbia hirta and Senna alata"
"Bignonia binata",DOI,"10.1155/2021/5597524","An Efflux Pumps Inhibitor Significantly Improved the Antibacterial Activity of Botanicals from Plectranthus glandulosus towards MDR Phenotypes"
"Bignonia binata",DOI,"10.1016/j.fitote.2015.12.022","Ericoside, a new antibacterial biflavonoid from Erica mannii (Ericaceae)"
"Bignonia binata",DOI,"10.1016/j.phytochem.2007.03.037","Anthraquinones from the stem bark of Stereospermum zenkeri with antimicrobial activity"
"Bignonia binata",DOI,"10.1248/cpb.58.1661","Ceramide and Cerebroside from the Stem Bark of Ficus mucuso (Moraceae)"
"Bignonia binata",DOI,"10.1016/j.phytol.2012.06.002","Stigmastane derivatives from the roots of Vernonia guineensis and their antimicrobial activity"
"Bignonia binata",DOI,"10.1016/j.phytol.2015.04.026","Terpenoids from the stem bark of Neoboutonia macrocalyx (Euphorbiaceae)"
"Bignonia binata",DOI,"10.1186/1472-6882-11-42","Antimicrobial activities of the methanol extract and compounds from Artocarpus communis (Moraceae)"
"Dracaena mannii",PMID,"21139276","Ceramide and Cerebroside from the stem bark of Ficus mucuso (Moraceae)."
"Dracaena mannii",PMID,"33163682","Botanicals from the leaves of Acacia sieberiana had better cytotoxic effects than isolated phytochemicals towards MDR cancer cells lines."
"Dracaena mannii",PMID,"11054840","Inhibitory effects of sudanese medicinal plant extracts on hepatitis C virus (HCV) protease."
"Dracaena mannii",PMID,"23537889","Two new tryptophan derivatives from the seed kernels of Entada rheedei: effects on cell viability and HIV infectivity."
"Dracaena mannii",PMID,"31560992","Bioguided identification of daucosterol, a compound that contributes to the cytotoxicity effects of Crateva adansonii DC (capparaceae) to prostate cancer cells."
"Dracaena mannii",PMID,"34054358","An Efflux Pumps Inhibitor Significantly Improved the Antibacterial Activity of Botanicals from Plectranthus glandulosus towards MDR Phenotypes."
"Dracaena mannii",PMID,"23713692","Alkaloids and polyketides from Penicillium citrinum, an endophyte isolated from the Moroccan plant Ceratonia siliqua."
"Dracaena mannii",PMID,"10844174","Alkaloids from Balanites aegyptiaca."
"Dracaena mannii",PMID,"18067107","Joziknipholones A and B: the first dimeric phenylanthraquinones, from the roots of Bulbine frutescens."
"Dracaena mannii",PMID,"20189399","Melanogenesis inhibitors from the desert plant Anastatica hierochuntica in B16 melanoma cells."
"Dracaena mannii",PMID,"25279277","Antityphoid and radical scavenging properties of the methanol extracts and compounds from the aerial part of Paullinia pinnata."
"Dracaena mannii",PMID,"31148485","Crotoliganfuran, a new clerodane-type furano-diterpenoid from Croton oligandrus Pierre ex Hutch."
"Dracaena mannii",PMID,"17499823","Anthraquinones from the stem bark of Stereospermum zenkeri with antimicrobial activity."
"Dracaena mannii",PMID,"23418169","Chemical constituents from Glyphaea brevis and Monodora myristica: chemotaxonomic significance."
"Dracaena mannii",PMID,"36837917","Constituents of the Stem Bark of Trichilia monadelpha (Thonn.) J. J. De Wilde (Meliaceae) and Their Antibacterial and Antiplasmodial Activities."
"Dracaena mannii",PMID,"24547806","New flavonoids C-glycosides from Rhabdophyllum arnoldianum."
"Dracaena mannii",PMID,"31274013","Contortamide, a new anti-colon cancer cerebroside and other constituents from Tabernaemontana contorta Stapf (Apocynaceae)."
"Dracaena mannii",PMID,"21612612","Antimicrobial activities of the methanol extract and compounds from Artocarpus communis (Moraceae)."
"Dracaena mannii",PMID,"38125494","New lignan glycosides from Justicia secunda Vahl (Acanthaceae) with antimicrobial and antiparasitic properties."
"Dracaena mannii",PMID,"25277679","Antimicrobial steroidal saponin and oleanane-type triterpenoid saponins from Paullinia pinnata."
"Dracaena mannii",PMID,"39140554","ERRATUM."
"Dracaena mannii",PMID,"26802608","Ericoside, a new antibacterial biflavonoid from Erica mannii (Ericaceae)."
"Dracaena mannii",PMID,"37345499","Isolation and antibacterial activity of anomanol B and other secondary metabolites from the stem bark of Anonidium mannii (Annonaceae)."
"Dracaena mannii",PMID,"28065698","The structure of antrocarine E, an ergostane isolated from Antrocaryon klaineanum Pierre (Anacardiaceae)."
"Dracaena mannii",PMID,"34694175","Alkenylbenzoquinones and other compounds from the fruit of Maesa lanceolata exhibited potent cytotoxic, antibacterial, and antiradical scavenging activities(§)."
"Dracaena mannii",PMID,"33244992","Antifungal potential of extracts, fractions and compounds from Uvaria comperei (Annonaceae) and Oxyanthus unilocularis (Rubiaceae)."
"Dracaena mannii",PMID,"26320684","Antiplasmodial and cytotoxic activities of the constituents of Turraea robusta and Turraea nilotica."
"Dracaena mannii",PMID,"31170979","Antibacterial and antibiotic-modifying activities of fractions and compounds from Albizia adianthifolia against MDR Gram-negative enteric bacteria."
"Dracaena mannii",DOI,"10.1016/j.jep.2015.08.039","Antiplasmodial and cytotoxic activities of the constituents of Turraea robusta and Turraea nilotica"
"Dracaena mannii",DOI,"10.1016/j.fitote.2013.03.017","Two new tryptophan derivatives from the seed kernels of Entada rheedei: Effects on cell viability and HIV infectivity"
"Dracaena mannii",DOI,"10.1016/j.phytol.2014.01.010","Antiplasmodial anthraquinones and hemisynthetic derivatives from the leaves of Tectona grandis (Verbenaceae)"
"Dracaena mannii",DOI,"10.1080/14786419.2019.1613399","Crotoliganfuran, a new clerodane-type furano-diterpenoid from <i>Croton oligandrus</i> Pierre ex Hutch"
"Dracaena mannii",DOI,"10.1155/2021/5597524","An Efflux Pumps Inhibitor Significantly Improved the Antibacterial Activity of Botanicals from Plectranthus glandulosus towards MDR Phenotypes"
"Dracaena mannii",DOI,"10.1016/j.phytol.2019.12.009","Bignanoside A "A new neolignan glucoside" and bignanoside B "A new iridoid glucoside" from Bignonia binata leaves"
"Dracaena mannii",DOI,"10.1016/j.fitote.2015.12.022","Ericoside, a new antibacterial biflavonoid from Erica mannii (Ericaceae)"
"Dracaena mannii",DOI,"10.1016/j.phytochem.2007.03.037","Anthraquinones from the stem bark of Stereospermum zenkeri with antimicrobial activity"
"Dracaena mannii",DOI,"10.1248/cpb.58.1661","Ceramide and Cerebroside from the Stem Bark of Ficus mucuso (Moraceae)"
"Dracaena mannii",DOI,"10.1016/j.phytol.2012.06.002","Stigmastane derivatives from the roots of Vernonia guineensis and their antimicrobial activity"
"Dracaena mannii",DOI,"10.1016/j.phytol.2015.04.026","Terpenoids from the stem bark of Neoboutonia macrocalyx (Euphorbiaceae)"
"Dracaena mannii",DOI,"10.1186/1472-6882-11-42","Antimicrobial activities of the methanol extract and compounds from Artocarpus communis (Moraceae)"
"Syncerus caffer",PMID,"22906882","Chemical and genetic diversity of two Mediterranean subspecies of Teucrium polium L."
"Syncerus caffer",PMID,"34577165","Mechanism of Action of Endophytic Fungi Hypocrea lixii and Beauveria bassiana in Phaseolus vulgaris as Biopesticides against Pea Leafminer and Fall Armyworm."
"Syncerus caffer",PMID,"22119065","Chemical and genetic differentiation of two Mediterranean subspecies of Teucrium scorodonia L."
"Syncerus caffer",PMID,"12789127","Bioassay-guided studies on the cytotoxic and in vitro trypanocidal activities of a sesquiterpene (Muzigadial) derived from a Ugandan medicinal plant (Warburgia ugandensis)."
"Syncerus caffer",PMID,"11830156","Two octanordammarane triterpenes from Commiphora kua."
"Syncerus caffer",PMID,"12049234","Odor composition of preferred (buffalo and ox) and nonpreferred (waterbuck) hosts of some Savanna tsetse flies."
"Syncerus caffer",PMID,"22373506","Chemical composition and antibacterial activity of the essential oils from Launaea resedifolia L."
"Syncerus caffer",DOI,"10.1186/2191-2858-2-2","Chemical composition and antibacterial activity of the essential oils from Launaea resedifolia L"
"Syncerus caffer",DOI,"10.1016/j.bse.2003.12.009","Chemical analysis and biological activities of the essential oil of Teucrium leucocladum Boiss. (Lamiaceae)"
"Bos indicus",PMID,"22906882","Chemical and genetic diversity of two Mediterranean subspecies of Teucrium polium L."
"Bos indicus",PMID,"34577165","Mechanism of Action of Endophytic Fungi Hypocrea lixii and Beauveria bassiana in Phaseolus vulgaris as Biopesticides against Pea Leafminer and Fall Armyworm."
"Bos indicus",PMID,"22119065","Chemical and genetic differentiation of two Mediterranean subspecies of Teucrium scorodonia L."
"Bos indicus",PMID,"12789127","Bioassay-guided studies on the cytotoxic and in vitro trypanocidal activities of a sesquiterpene (Muzigadial) derived from a Ugandan medicinal plant (Warburgia ugandensis)."
"Bos indicus",PMID,"11830156","Two octanordammarane triterpenes from Commiphora kua."
"Bos indicus",PMID,"12049234","Odor composition of preferred (buffalo and ox) and nonpreferred (waterbuck) hosts of some Savanna tsetse flies."
"Milletia dura",PMID,"22483325","Distinct chemotypes of Tephrosia vogelii and implications for their use in pest control and soil enrichment."
"Milletia dura",PMID,"22575309","The antiplasmodial and radical scavenging activities of flavonoids of Erythrina burttii."
"Milletia dura",PMID,"14561074","Effect of rotenoids from the seeds of Millettia dura on larvae of Aedes aegypti."
"Milletia dura",PMID,"15771885","7a-O-methyldeguelol, a modified rotenoid with an open ring-C, from the roots of Derris trifoliata."
"Milletia dura",PMID,"11140607","Two isoflavanones from the stem bark of Erythrina sacleuxii."
"Milletia dura",PMID,"16483619","Two unusual rotenoid derivatives, 7a-O-methyl-12a-hydroxydeguelol and spiro-13-homo-13-oxaelliptone, from the seeds of Derris trifoliata."
"Milletia dura",DOI,"10.1021/np9605955","6-Methoxycalpogonium Isoflavone A:  A New Isoflavone from the Seed Pods of <i>Millettia dura</i>"
"Tephrosia villosa",PMID,"16562843","Rautandiols A and B, pterocarpans and cytotoxic constituents from Neorautanenia mitis."
"Tephrosia villosa",PMID,"22575309","The antiplasmodial and radical scavenging activities of flavonoids of Erythrina burttii."
"Tephrosia villosa",PMID,"14561074","Effect of rotenoids from the seeds of Millettia dura on larvae of Aedes aegypti."
"Tephrosia villosa",PMID,"15771885","7a-O-methyldeguelol, a modified rotenoid with an open ring-C, from the roots of Derris trifoliata."
"Tephrosia villosa",PMID,"11140607","Two isoflavanones from the stem bark of Erythrina sacleuxii."
"Tephrosia villosa",PMID,"16483619","Two unusual rotenoid derivatives, 7a-O-methyl-12a-hydroxydeguelol and spiro-13-homo-13-oxaelliptone, from the seeds of Derris trifoliata."
"Tephrosia elata",PMID,"22575309","The antiplasmodial and radical scavenging activities of flavonoids of Erythrina burttii."
"Tephrosia elata",PMID,"14561074","Effect of rotenoids from the seeds of Millettia dura on larvae of Aedes aegypti."
"Tephrosia elata",PMID,"15771885","7a-O-methyldeguelol, a modified rotenoid with an open ring-C, from the roots of Derris trifoliata."
"Tephrosia elata",PMID,"11140607","Two isoflavanones from the stem bark of Erythrina sacleuxii."
"Tephrosia elata",PMID,"16483619","Two unusual rotenoid derivatives, 7a-O-methyl-12a-hydroxydeguelol and spiro-13-homo-13-oxaelliptone, from the seeds of Derris trifoliata."
"Millettia duchesnei",PMID,"11140607","Two isoflavanones from the stem bark of Erythrina sacleuxii."
"Millettia duchesnei",PMID,"16483619","Two unusual rotenoid derivatives, 7a-O-methyl-12a-hydroxydeguelol and spiro-13-homo-13-oxaelliptone, from the seeds of Derris trifoliata."
"Tephrosia purpurea",PMID,"29882428","Oligoamide, a new lactam from the leaves of Angylocalyx oligophyllus."
"Tephrosia purpurea",PMID,"15081287","Antimicrobial and antioxidant flavonoids from the root wood of Bolusanthus speciosus."
"Tephrosia purpurea",PMID,"25279277","Antityphoid and radical scavenging properties of the methanol extracts and compounds from the aerial part of Paullinia pinnata."
"Tephrosia purpurea",PMID,"22575309","The antiplasmodial and radical scavenging activities of flavonoids of Erythrina burttii."
"Tephrosia purpurea",PMID,"30956683","Antibacterial and Antibiotic Modifying Potential of Crude Extracts, Fractions, and Compounds from Acacia polyacantha Willd. against MDR Gram-Negative Bacteria."
"Tephrosia purpurea",PMID,"32256637","Antistaphylococcal Activity of Extracts, Fractions, and Compounds of Acacia polyacantha Wild (Fabaceae)."
"Tephrosia purpurea",PMID,"16483619","Two unusual rotenoid derivatives, 7a-O-methyl-12a-hydroxydeguelol and spiro-13-homo-13-oxaelliptone, from the seeds of Derris trifoliata."
"Bolusanthus speciosus",PMID,"12770595","Two prenylated flavonoids from the stem bark of Erythrina burttii."
"Bolusanthus speciosus",PMID,"21328137","Antimicrobial activities of the CH2Cl2-CH3OH (1:1) extracts and compounds from the roots and fruits of Pycnanthus angolensis (Myristicaceae)."
"Bolusanthus speciosus",PMID,"21213984","Pycnangloside: a new cerebroside from bark of Pycnanthus angolensis."
"Bolusanthus speciosus",PMID,"22575309","The antiplasmodial and radical scavenging activities of flavonoids of Erythrina burttii."
"Bolusanthus speciosus",PMID,"19173126","Unusual amount of (-)-mesquitol from the heartwood of Prosopis juliflora."
"Bolusanthus speciosus",PMID,"26959540","Thonningiiflavanonol A and thonningiiflavanonol B, two novel flavonoids, and other constituents of Ficus thonningii Blume (Moraceae)."
"Bolusanthus speciosus",PMID,"11054840","Inhibitory effects of sudanese medicinal plant extracts on hepatitis C virus (HCV) protease."
"Bolusanthus speciosus",PMID,"12946425","Isoflavanones from the allelopathic aqueous root exudate of Desmodium uncinatum."
"Bolusanthus speciosus",PMID,"24514562","Characterization and antioxidant properties of six Algerian propolis extracts: ethyl acetate extracts inhibit myeloperoxidase activity."
"Bolusanthus speciosus",PMID,"16483619","Two unusual rotenoid derivatives, 7a-O-methyl-12a-hydroxydeguelol and spiro-13-homo-13-oxaelliptone, from the seeds of Derris trifoliata."
"Bolusanthus speciosus",PMID,"17234222","C-methylated and C-prenylated isoflavonoids from root extract of Desmodium uncinatum."
"Bolusanthus speciosus",DOI,"10.3390/ijms15022327","Characterization and Antioxidant Properties of Six Algerian Propolis Extracts: Ethyl Acetate Extracts Inhibit Myeloperoxidase Activity"
"Bolusanthus speciosus",DOI,"10.1016/j.bse.2021.104277","A coumestan and a coumaronochromone from Millettia lasiantha"
"Bolusanthus speciosus",DOI,"10.1021/np9605955","6-Methoxycalpogonium Isoflavone A:  A New Isoflavone from the Seed Pods of <i>Millettia dura</i>"
"Gladiolus segetum",PMID,"24642911","Cytotoxic quinones from the roots of Aloe dawei."
"Gladiolus segetum",PMID,"18067107","Joziknipholones A and B: the first dimeric phenylanthraquinones, from the roots of Bulbine frutescens."
"Launaea resedifolia",PMID,"34577165","Mechanism of Action of Endophytic Fungi Hypocrea lixii and Beauveria bassiana in Phaseolus vulgaris as Biopesticides against Pea Leafminer and Fall Armyworm."
"Launaea resedifolia",PMID,"22906882","Chemical and genetic diversity of two Mediterranean subspecies of Teucrium polium L."
"Launaea resedifolia",PMID,"11393518","Blend effects in the toxicity of the essential oil constituents of Ocimum kilimandscharicum and Ocimum kenyense (Labiateae) on two post-harvest insect pests."
"Launaea resedifolia",PMID,"15474566","Repellency of essential oils of some Kenyan plants against Anopheles gambiae."
"Launaea resedifolia",PMID,"16766003","Three ent-trachylobane diterpenes from the leaf exudates of Psiadia punctulata."
"Launaea resedifolia",PMID,"16319012","C18 tetraynoic fatty acids and essential oil composition of Mkilua fragrans."
"Launaea resedifolia",PMID,"27569885","Chemical composition, antiproliferative, antioxidant and antibacterial activities of essential oils from aromatic plants growing in Sudan."
"Launaea resedifolia",PMID,"11975493","New cytotoxic 6,7-cis and 6,7-trans configured guaianolides from Warionia saharae."
"Launaea resedifolia",PMID,"11449503","Antibacterial and molluscicidal activities of the essential oil of Chrysanthemum viscidehirtum."
"Launaea resedifolia",PMID,"17688894","Antifungal rosane diterpenes and other constituents of Hugonia castaneifolia."
"Launaea resedifolia",PMID,"22119065","Chemical and genetic differentiation of two Mediterranean subspecies of Teucrium scorodonia L."
"Launaea resedifolia",PMID,"12789127","Bioassay-guided studies on the cytotoxic and in vitro trypanocidal activities of a sesquiterpene (Muzigadial) derived from a Ugandan medicinal plant (Warburgia ugandensis)."
"Launaea resedifolia",PMID,"11830156","Two octanordammarane triterpenes from Commiphora kua."
"Launaea resedifolia",PMID,"12049234","Odor composition of preferred (buffalo and ox) and nonpreferred (waterbuck) hosts of some Savanna tsetse flies."
"Launaea resedifolia",PMID,"21240765","Chemical composition of essential oils from leaves, stems, flower heads and roots of Conyza bonariensis L. from Tunisia."
"Launaea resedifolia",DOI,"10.1016/j.bse.2007.05.009","Chemical composition and antimicrobial activity of essential oils of Cupressus arizonica Greene"
"Launaea resedifolia",DOI,"10.1016/j.bse.2003.12.009","Chemical analysis and biological activities of the essential oil of Teucrium leucocladum Boiss. (Lamiaceae)"
"Launaea resedifolia",DOI,"10.1080/14786410500045960","C<sub>18</sub> tetraynoic fatty acids and essential oil composition of <i>Mkilua fragrans</i>"
"Zanthoxylum gilletii",PMID,"25535086","Antiplasmodial compounds from the stem bark of Neoboutonia macrocalyx pax."
"Zanthoxylum gilletii",PMID,"14561074","Effect of rotenoids from the seeds of Millettia dura on larvae of Aedes aegypti."
"Zanthoxylum gilletii",PMID,"17402027","Alkaloid, lignan and flavonoid constituents of Haplophyllum tuberculatum from Sudan."
"Zanthoxylum gilletii",PMID,"27286332","New ent-Clerodane and Abietane Diterpenoids from the Roots of Kenyan Croton megalocarpoides Friis & M. G. Gilbert."
"Zanthoxylum gilletii",PMID,"38458316","Comments on: "Comparative study of a Y-anatomical and innovative locking plate versus double plate for supracondylar humeral fracture" by H. Barret, R. Ceccarelli, P. Vial d'Allais, M. Winter, M. Chammas, B. Coulet, C. Lazerges published in Orthop Traumatol Surg Res 2023;109:103380. doi:10.1016/j.otsr.2022.103380."
"Zanthoxylum gilletii",PMID,"18067107","Joziknipholones A and B: the first dimeric phenylanthraquinones, from the roots of Bulbine frutescens."
"Zanthoxylum gilletii",PMID,"2236290","Antimalarial compounds containing an alpha,beta-unsaturated carbonyl moiety from Tanzanian medicinal plants."
"Zanthoxylum gilletii",PMID,"18267321","An azole, an amide and a limonoid from Vepris uguenensis (Rutaceae)."
"Zanthoxylum gilletii",PMID,"36985446","Constituents of the Stem Bark of Symphonia globulifera Linn. f. with Antileishmanial and Antibacterial Activities."
"Zanthoxylum gilletii",PMID,"12141852","Isolation and in vitro antiplasmodial activities of alkaloids from Teclea trichocarpa: in vivo antimalarial activity and X-ray crystal structure of normelicopicine."
"Zanthoxylum gilletii",PMID,"27864111","Secondary metabolites from Tetracera potatoria stem bark with anti-mycobacterial activity."
"Zanthoxylum gilletii",PMID,"12736444","Dammarane triterpenes of Commiphora confusa resin."
"Zanthoxylum gilletii",PMID,"26208861","Plasmodium transmission blocking activities of Vernonia amygdalina extracts and isolated compounds."
"Zanthoxylum gilletii",PMID,"22312722","A novel flavonoid and furoquinoline alkaloids from Vepris glomerata and their antioxidant activity."
"Zanthoxylum gilletii",PMID,"19173126","Unusual amount of (-)-mesquitol from the heartwood of Prosopis juliflora."
"Zanthoxylum gilletii",PMID,"21048352","Four new ursane-type triterpenes, olibanumols K, L, M, and N, from traditional egyptian medicine olibanum, the gum-resin of Boswellia carterii."
"Zanthoxylum gilletii",PMID,"19747699","Oxidative burst inhibitory and cytotoxic amides and lignans from the stem bark of Fagara heitzii (Rutaceae)."
"Zanthoxylum gilletii",PMID,"12789127","Bioassay-guided studies on the cytotoxic and in vitro trypanocidal activities of a sesquiterpene (Muzigadial) derived from a Ugandan medicinal plant (Warburgia ugandensis)."
"Zanthoxylum gilletii",PMID,"20006684","A bioactive isoprenylated xanthone and other constituents of Garcinia edulis."
"Zanthoxylum gilletii",PMID,"24680168","Cycloartane triterpenes from the leaves of Neoboutonia macrocalyx L."
"Zanthoxylum gilletii",PMID,"25044090","The isolation of antiprotozoal compounds from Libyan propolis."
"Zanthoxylum gilletii",PMID,"21240764","Phenylpropanoids from the stem bark of Jacaranda mimosaefolia."
"Zanthoxylum gilletii",PMID,"16317830","Acetylenic thiophenes from the roots of Escinops ellenbeckii from Ethiopia."
"Zanthoxylum gilletii",PMID,"22898386","Ring A-seco limonoids and flavonoids from the Kenyan Vepris uguenensis Engl. and their antioxidant activity."
"Zanthoxylum gilletii",PMID,"19007948","Chemical characterisation of the terpenoid constituents of the Algerian plant Launaea arborescens."
"Zanthoxylum gilletii",PMID,"11730872","Alkamides from Artemisia dracunculus."
"Zanthoxylum gilletii",DOI,"10.1055/s-2007-971491","Alkaloid, Lignan and Flavonoid Constituents of<i>Haplophyllum tuberculatum</i>from Sudan"
"Zanthoxylum gilletii",DOI,"10.1016/j.phytochem.2008.09.025","Chemical characterisation of the terpenoid constituents of the Algerian plant Launaea arborescens"
"Zanthoxylum gilletii",DOI,"10.1055/s-2006-960985","Antimalarial Compounds Containing an α, β-Unsaturated Carbonyl Moiety from Tanzanian Medicinal Plants<sup>1</sup>"
"Zanthoxylum gilletii",DOI,"10.1016/j.bse.2003.12.009","Chemical analysis and biological activities of the essential oil of Teucrium leucocladum Boiss. (Lamiaceae)"
"Zanthoxylum gilletii",DOI,"10.1016/j.phytol.2011.08.012","Absolute configuration of 2′(R)-acetylmontrifoline and 2′(R)-montrifoline, furoquinolines from the fruits of Teclea nobilis"
"Zanthoxylum gilletii",DOI,"10.1021/np50064a021","Medicinal Plants of Tunisia. The Structure of Periplocadiol, A New Elemane-Type Sesquiterpene Isolated from the Roots of Periploca laevigata"
"Zanthoxylum gilletii",DOI,"10.1016/j.phytol.2012.03.017","Antibacterial activity of an epoxidised prenylated cinnamaldehdye derivative from Vepris glomerata"
"Zanthoxylum gilletii",DOI,"10.1055/s-0031-1282668","Phytochemical and pharmacological studies of Ficus auriculata Lour. (Moraceae) cultivated in Egypt"
"Zanthoxylum gilletii",DOI,"10.1016/j.phytol.2013.06.003","Antibacterial and antioxidant activities of flavonoids from Lannea alata (Engl.) Engl. (Anacardiaceae)"
"Zanthoxylum gilletii",DOI,"10.3390/molecules28062473","Constituents of the Stem Bark of Symphonia globulifera Linn. f. with Antileishmanial and Antibacterial Activities"
"Zanthoxylum gilletii",DOI,"10.1002/ptr.5194","The Isolation of Antiprotozoal Compounds from Libyan Propolis"
"Zanthoxylum gilletii",DOI,"10.1016/j.jep.2016.11.027","Secondary metabolites from Tetracera potatoria stem bark with anti-mycobacterial activity"
"Lannea alata",PMID,"25535086","Antiplasmodial compounds from the stem bark of Neoboutonia macrocalyx pax."
"Lannea alata",PMID,"14561074","Effect of rotenoids from the seeds of Millettia dura on larvae of Aedes aegypti."
"Lannea alata",PMID,"27518587","Naphthalene Derivatives from the Roots of Pentas parvifolia and Pentas bussei."
"Lannea alata",PMID,"27286332","New ent-Clerodane and Abietane Diterpenoids from the Roots of Kenyan Croton megalocarpoides Friis & M. G. Gilbert."
"Lannea alata",PMID,"38458316","Comments on: "Comparative study of a Y-anatomical and innovative locking plate versus double plate for supracondylar humeral fracture" by H. Barret, R. Ceccarelli, P. Vial d'Allais, M. Winter, M. Chammas, B. Coulet, C. Lazerges published in Orthop Traumatol Surg Res 2023;109:103380. doi:10.1016/j.otsr.2022.103380."
"Lannea alata",PMID,"18067107","Joziknipholones A and B: the first dimeric phenylanthraquinones, from the roots of Bulbine frutescens."
"Lannea alata",PMID,"2236290","Antimalarial compounds containing an alpha,beta-unsaturated carbonyl moiety from Tanzanian medicinal plants."
"Lannea alata",PMID,"20161905","Isolation of a stilbene glycoside and other constituents of Terminalia sericeae."
"Lannea alata",PMID,"11677033","Constituents from Salvia triloba."
"Lannea alata",PMID,"1368857","Biologically active diterpenes from Aspilia mossambicensis, a chimpanzee medicinal plant."
"Lannea alata",PMID,"18267321","An azole, an amide and a limonoid from Vepris uguenensis (Rutaceae)."
"Lannea alata",PMID,"36985446","Constituents of the Stem Bark of Symphonia globulifera Linn. f. with Antileishmanial and Antibacterial Activities."
"Lannea alata",PMID,"9265194","Triterpenoids and steroids of Myrsine africana leaves."
"Lannea alata",PMID,"27864111","Secondary metabolites from Tetracera potatoria stem bark with anti-mycobacterial activity."
"Lannea alata",PMID,"12736444","Dammarane triterpenes of Commiphora confusa resin."
"Lannea alata",PMID,"26208861","Plasmodium transmission blocking activities of Vernonia amygdalina extracts and isolated compounds."
"Lannea alata",PMID,"19173126","Unusual amount of (-)-mesquitol from the heartwood of Prosopis juliflora."
"Lannea alata",PMID,"21048352","Four new ursane-type triterpenes, olibanumols K, L, M, and N, from traditional egyptian medicine olibanum, the gum-resin of Boswellia carterii."
"Lannea alata",PMID,"19747699","Oxidative burst inhibitory and cytotoxic amides and lignans from the stem bark of Fagara heitzii (Rutaceae)."
"Lannea alata",PMID,"25273060","Taxiphyllin 6'-O-gallate, actinidioionoside 6'-O-gallate and myricetrin 2″-O-sulfate from the leaves of Syzygium samarangense and their biological activities."
"Lannea alata",PMID,"20006684","A bioactive isoprenylated xanthone and other constituents of Garcinia edulis."
"Lannea alata",PMID,"15893885","Components and antibacterial activity of the roots of Salvia jaminiana."
"Lannea alata",PMID,"12150799","Prenylated flavonoids of Erythrina lysistemon grown in Egypt."
"Lannea alata",PMID,"31261420","Halimium halimifolium: From the Chemical and Functional Characterization to a Nutraceutical Ingredient Design."
"Lannea alata",PMID,"26320684","Antiplasmodial and cytotoxic activities of the constituents of Turraea robusta and Turraea nilotica."
"Lannea alata",PMID,"24680168","Cycloartane triterpenes from the leaves of Neoboutonia macrocalyx L."
"Lannea alata",PMID,"11738415","Acylated flavonol glycosides from Eugenia jambolana leaves."
"Lannea alata",PMID,"23401280","In vivo antimalarial activity of a labdane diterpenoid from the leaves of Otostegia integrifolia Benth."
"Lannea alata",PMID,"21240764","Phenylpropanoids from the stem bark of Jacaranda mimosaefolia."
"Lannea alata",PMID,"16317830","Acetylenic thiophenes from the roots of Escinops ellenbeckii from Ethiopia."
"Lannea alata",PMID,"22898386","Ring A-seco limonoids and flavonoids from the Kenyan Vepris uguenensis Engl. and their antioxidant activity."
"Lannea alata",PMID,"12842147","Two very unusual macrocyclic flavonoids from the water lily Nymphaea lotus."
"Lannea alata",PMID,"19007948","Chemical characterisation of the terpenoid constituents of the Algerian plant Launaea arborescens."
"Lannea alata",DOI,"10.1016/j.phytol.2020.07.012","Antioxidant activity-guided isolation of constituents from Euphorbia gaditana Coss. and their antioxidant and tyrosinase inhibitory activities"
"Lannea alata",DOI,"10.1016/j.jep.2015.08.039","Antiplasmodial and cytotoxic activities of the constituents of Turraea robusta and Turraea nilotica"
"Lannea alata",DOI,"10.1016/j.fitote.2005.03.011","Components and antibacterial activity of the roots of Salvia jaminiana"
"Lannea alata",DOI,"10.1016/j.phytochem.2008.09.025","Chemical characterisation of the terpenoid constituents of the Algerian plant Launaea arborescens"
"Lannea alata",DOI,"10.1055/s-2006-960985","Antimalarial Compounds Containing an α, β-Unsaturated Carbonyl Moiety from Tanzanian Medicinal Plants<sup>1</sup>"
"Lannea alata",DOI,"10.1055/a-0953-6007","Halimium halimifolium: From the Chemical and Functional Characterization to a Nutraceutical Ingredient Design"
"Lannea alata",DOI,"10.1016/j.bse.2003.12.009","Chemical analysis and biological activities of the essential oil of Teucrium leucocladum Boiss. (Lamiaceae)"
"Lannea alata",DOI,"10.1021/np50064a021","Medicinal Plants of Tunisia. The Structure of Periplocadiol, A New Elemane-Type Sesquiterpene Isolated from the Roots of Periploca laevigata"
"Lannea alata",DOI,"10.1055/s-0031-1282668","Phytochemical and pharmacological studies of Ficus auriculata Lour. (Moraceae) cultivated in Egypt"
