Species,Type,Identifier,Title
"Neoboutonia macrocalyx",DOI,"10.1016/j.phytol.2012.06.002","Stigmastane derivatives from the roots of Vernonia guineensis and their antimicrobial activity"
"Neoboutonia macrocalyx",DOI,"10.1186/1472-6882-11-42","Antimicrobial activities of the methanol extract and compounds from Artocarpus communis (Moraceae)"
"Neoboutonia macrocalyx",DOI,"10.1038/s41598-019-41403-x","Anti-HIV-1 integrase potency of methylgallate from Alchornea cordifolia using in vitro and in silico approaches"
"Erigeron floribundus",PMID,"31148485","Crotoliganfuran, a new clerodane-type furano-diterpenoid from Croton oligandrus Pierre ex Hutch."
"Erigeron floribundus",PMID,"24356872","Alienusolin, a new 4α-deoxyphorbol ester derivative, and crotonimide C, a new glutarimide alkaloid from the Kenyan Croton alienus."
"Erigeron floribundus",PMID,"25535086","Antiplasmodial compounds from the stem bark of Neoboutonia macrocalyx pax."
"Erigeron floribundus",PMID,"33624570","A new isoquinoline and ceramide from the stem barks of Discoglypremna caloneura (Pax) Prain (Euphorbiaceae) with antiproteinase and cytotoxic activities."
"Erigeron floribundus",PMID,"30886338","Anti-HIV-1 integrase potency of methylgallate from Alchornea cordifolia using in vitro and in silico approaches."
"Erigeron floribundus",PMID,"27518587","Naphthalene Derivatives from the Roots of Pentas parvifolia and Pentas bussei."
"Erigeron floribundus",PMID,"27286332","New ent-Clerodane and Abietane Diterpenoids from the Roots of Kenyan Croton megalocarpoides Friis & M. G. Gilbert."
"Erigeron floribundus",PMID,"29468851","Isolates from Alpinia officinarum Hance attenuate LPS-induced inflammation in HepG2: Evidence from in silico and in vitro studies."
"Erigeron floribundus",PMID,"29438356","Ent-Clerodane Diterpenes from the Bark of Croton oligandrus Pierre ex Hutch. and Assessment of Their Cytotoxicity against Human Cancer Cell Lines."
"Erigeron floribundus",DOI,"10.1016/j.phytol.2015.04.026","Terpenoids from the stem bark of Neoboutonia macrocalyx (Euphorbiaceae)"
"Erigeron floribundus",DOI,"10.1038/s41598-019-41403-x","Anti-HIV-1 integrase potency of methylgallate from Alchornea cordifolia using in vitro and in silico approaches"
"Erigeron floribundus",DOI,"10.3390/molecules23020410","Ent-Clerodane Diterpenes from the Bark of Croton oligandrus Pierre ex Hutch. and Assessment of Their Cytotoxicity against Human Cancer Cell Lines"
"Erigeron floribundus",DOI,"10.1016/j.jep.2014.12.018","Antiplasmodial compounds from the stem bark of Neoboutonia macrocalyx pax"
"Erigeron floribundus",DOI,"10.1080/14786419.2019.1613399","Crotoliganfuran, a new clerodane-type furano-diterpenoid from <i>Croton oligandrus</i> Pierre ex Hutch"
"Croton oligandrus",PMID,"18067107","Joziknipholones A and B: the first dimeric phenylanthraquinones, from the roots of Bulbine frutescens."
"Croton oligandrus",PMID,"10844174","Alkaloids from Balanites aegyptiaca."
"Croton oligandrus",PMID,"20189399","Melanogenesis inhibitors from the desert plant Anastatica hierochuntica in B16 melanoma cells."
"Croton oligandrus",PMID,"13679101","Anti-plasmodial activities and X-ray crystal structures of rotenoids from Millettia usaramensis subspecies usaramensis."
"Croton oligandrus",PMID,"11140607","Two isoflavanones from the stem bark of Erythrina sacleuxii."
"Croton oligandrus",PMID,"25535086","Antiplasmodial compounds from the stem bark of Neoboutonia macrocalyx pax."
"Croton oligandrus",PMID,"33624570","A new isoquinoline and ceramide from the stem barks of Discoglypremna caloneura (Pax) Prain (Euphorbiaceae) with antiproteinase and cytotoxic activities."
"Croton oligandrus",PMID,"30886338","Anti-HIV-1 integrase potency of methylgallate from Alchornea cordifolia using in vitro and in silico approaches."
"Croton oligandrus",PMID,"25632460","Phenolic constituents of Erigeron floribundus (Asteraceae), a Cameroonian medicinal plant."
"Croton oligandrus",PMID,"11054840","Inhibitory effects of sudanese medicinal plant extracts on hepatitis C virus (HCV) protease."
"Croton oligandrus",PMID,"23713692","Alkaloids and polyketides from Penicillium citrinum, an endophyte isolated from the Moroccan plant Ceratonia siliqua."
"Croton oligandrus",DOI,"10.4314/br.v20i3.12","Evaluation of bio-active constituents and In vitro antioxidant potentials of the ethanolic leaf extracts of Dracaena mannii, Euphorbia hirta and Senna alata"
"Croton oligandrus",DOI,"10.1016/j.phytol.2015.04.026","Terpenoids from the stem bark of Neoboutonia macrocalyx (Euphorbiaceae)"
"Croton oligandrus",DOI,"10.1038/s41598-019-41403-x","Anti-HIV-1 integrase potency of methylgallate from Alchornea cordifolia using in vitro and in silico approaches"
"Croton oligandrus",DOI,"10.1016/j.jep.2014.12.018","Antiplasmodial compounds from the stem bark of Neoboutonia macrocalyx pax"
"Discoglypremna caloneura",PMID,"31148485","Crotoliganfuran, a new clerodane-type furano-diterpenoid from Croton oligandrus Pierre ex Hutch."
"Discoglypremna caloneura",PMID,"24356872","Alienusolin, a new 4α-deoxyphorbol ester derivative, and crotonimide C, a new glutarimide alkaloid from the Kenyan Croton alienus."
"Discoglypremna caloneura",PMID,"25535086","Antiplasmodial compounds from the stem bark of Neoboutonia macrocalyx pax."
"Discoglypremna caloneura",PMID,"30886338","Anti-HIV-1 integrase potency of methylgallate from Alchornea cordifolia using in vitro and in silico approaches."
"Discoglypremna caloneura",PMID,"25632460","Phenolic constituents of Erigeron floribundus (Asteraceae), a Cameroonian medicinal plant."
"Discoglypremna caloneura",PMID,"27286332","New ent-Clerodane and Abietane Diterpenoids from the Roots of Kenyan Croton megalocarpoides Friis & M. G. Gilbert."
"Discoglypremna caloneura",PMID,"29438356","Ent-Clerodane Diterpenes from the Bark of Croton oligandrus Pierre ex Hutch. and Assessment of Their Cytotoxicity against Human Cancer Cell Lines."
"Discoglypremna caloneura",DOI,"10.1016/j.phytol.2015.04.026","Terpenoids from the stem bark of Neoboutonia macrocalyx (Euphorbiaceae)"
"Discoglypremna caloneura",DOI,"10.1038/s41598-019-41403-x","Anti-HIV-1 integrase potency of methylgallate from Alchornea cordifolia using in vitro and in silico approaches"
"Discoglypremna caloneura",DOI,"10.3390/molecules23020410","Ent-Clerodane Diterpenes from the Bark of Croton oligandrus Pierre ex Hutch. and Assessment of Their Cytotoxicity against Human Cancer Cell Lines"
"Discoglypremna caloneura",DOI,"10.1016/j.jep.2014.12.018","Antiplasmodial compounds from the stem bark of Neoboutonia macrocalyx pax"
"Discoglypremna caloneura",DOI,"10.1080/14786419.2019.1613399","Crotoliganfuran, a new clerodane-type furano-diterpenoid from <i>Croton oligandrus</i> Pierre ex Hutch"
"Alchornea cordifolia",PMID,"31148485","Crotoliganfuran, a new clerodane-type furano-diterpenoid from Croton oligandrus Pierre ex Hutch."
"Alchornea cordifolia",PMID,"24680168","Cycloartane triterpenes from the leaves of Neoboutonia macrocalyx L."
